           inclad_71  |            lead_box  | 4 0 th inclad in the lead box  |                      -0.5*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 71 
           inclad_72  |            lead_box  | 5 0 th inclad in the lead box  |                       -0.5*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 72 
           inclad_73  |            lead_box  | 0 1 th inclad in the lead box  |                      -0.4*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 73 
           inclad_74  |            lead_box  | 1 1 th inclad in the lead box  |                     -0.4*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 74 
           inclad_75  |            lead_box  | 2 1 th inclad in the lead box  |                     -0.4*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 75 
           inclad_76  |            lead_box  | 3 1 th inclad in the lead box  |                      -0.4*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 76 
           inclad_77  |            lead_box  | 4 1 th inclad in the lead box  |                      -0.4*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 77 
           inclad_78  |            lead_box  | 5 1 th inclad in the lead box  |                       -0.4*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 78 
           inclad_79  |            lead_box  | 0 2 th inclad in the lead box  |                      -0.3*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 79 
           inclad_80  |            lead_box  | 1 2 th inclad in the lead box  |                     -0.3*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 80 
